일반차량 전일 월정기요금,주간 월정기요금,야간 월정기요금,주차요금 지불방식,총주차대수,주차상한제,자율요일제,수정일자,특기사항,야간개방사업여부,지원주차장설치여부,주차장사진매수,도면매수,일반인 개방여부,GIS링크,과거 GIS링크,JM_ISCHK,기타사항,메모,JM_SJ_CONT,JM_KJ_CONT,JM_N_STTIME,JM_N_EDTIME,JM_OPN_STTIME,JM_OPN_EDTIME,JM_OPH_STTIME,JM_OPH_EDTIME,JM_OPE_STTIME,JM_OPE_EDTIME,JM_IN_CHARGE,대시민표출주차면수,공유주차장 코드,위도,경도
-,-,-,3,1,N,0,2019-12-31 0:00,11440-0973|동교동 1산 200번지 4호,0,0,0,0,0,1.14401E+18,1.14401E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.55868891,126.9225733
-,-,-,3,1,N,0,2020-09-07 0:00,11440-0976|동교동 1산 200번지 2호,0,0,0,0,0,1.14401E+18,1.14401E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.55826019,126.9222856
-,-,-,3,1,N,0,2020-09-07 0:00,11440-0167|중동 1산 230번지 0호,0,0,0,0,0,1.14401E+18,1.14401E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.56895573,126.9106819
0,-,-,3,1,N,0,2020-09-07 0:00,|행당동 341-102,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.554282,127.031675
0,-,-,3,1,N,0,2020-09-07 0:00,|행당동 341-102,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.554282,127.031675
0,-,-,3,1,N,0,2020-09-07 0:00,|행당동 341-102,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.554282,127.031675
0,-,-,3,1,N,0,2020-09-07 0:00,|행당동 341-102,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.554282,127.031675
-,-,-,-,1,N,0,2019-12-31 0:00,|행당동 344,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.555229,127.033519
-,-,-,-,1,N,0,2020-09-07 0:00,|행당동 344,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.555229,127.033519
-,-,-,-,1,N,0,2019-12-31 0:00,|행당동 344,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.555229,127.033519
-,-,-,-,1,N,0,2019-12-31 0:00,|행당동 344,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.555229,127.033519
-,-,-,-,1,N,0,2019-12-31 0:00,|행당동 344,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.555229,127.033519
-,-,-,-,1,N,0,2019-12-31 0:00,|행당동 344,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.555229,127.033519
-,-,-,-,1,N,0,2019-12-31 0:00,|행당동 344,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.555229,127.033519
-,-,-,-,1,N,0,2019-12-31 0:00,|행당동 344,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.555229,127.033519
-,-,-,-,1,N,0,2020-09-07 0:00,|행당동 344,0,0,0,0,0,1.12001E+18,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.555229,127.033519
80000,-,-,3,1,N,0,2020-09-07 0:00,|용답동 238-7,0,0,0,0,0,xit20161120002917,xit20161120002917,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.558107,127.068224
80000,-,-,3,1,N,0,2020-09-07 0:00,|용답동 238-7,0,0,0,0,0,xit20161120002917,xit20161120002917,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.558107,127.068224
80000,-,-,3,1,N,0,2020-09-07 0:00,|용답동 238-7,0,0,0,0,0,xit20161120002917,xit20161120002917,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.558107,127.068224
0,-,-,3,1,N,0,2019-12-31 0:00,|마장동 825,0,0,0,0,0,xit20161120002404,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.567079,127.038088
0,-,-,3,1,N,0,2019-12-31 0:00,|마장동 825,0,0,0,0,0,xit20161120002404,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.567079,127.038088
0,-,-,3,1,N,0,2019-12-31 0:00,|마장동 825,0,0,0,0,0,xit20161120002404,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.567079,127.038088
0,-,-,3,1,N,0,2019-12-31 0:00,|마장동 825,0,0,0,0,0,xit20161120002404,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.567079,127.038088
0,-,-,3,1,N,0,2019-12-31 0:00,|마장동 825,0,0,0,0,0,xit20161120002404,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.567079,127.038088
0,-,-,3,1,N,0,2019-12-31 0:00,|마장동 825,0,0,0,0,0,xit20161120002404,1.12001E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.567079,127.038088
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13200-051-1-1549668|동빙고동 1산 6번지 2호,0,0,0,0,0,xit20161117002750,xit20161117002750,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.526125,126.996072
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13600-051-1-1546058|보광동 1산 168번지 4호,0,0,0,0,0,xit20161117003309,xit20161117003309,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.523212,127.000811
0,-,-,3,1,N,0,2020-09-07 0:00,11170-12900-038-1-1549149|이촌동 1산 422번지 0호,0,0,0,0,0,xit20161117000356,xit20161117000356,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.525767,126.954566
0,-,-,3,1,N,0,2020-09-07 0:00,11170-12900-038-1-1550616|이촌동 1산 211번지 2호,0,0,0,0,0,xit20161117002529,xit20161117002529,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.529938,126.953399
0,-,-,3,1,N,0,2020-09-07 0:00,11170-12900-038-1-1550155|이촌동 1산 199번지 1호,0,0,0,0,0,xit20161117001477,xit20161117001477,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.524808,126.957133
0,-,-,3,1,N,0,2019-12-31 0:00,11170-12900-038-1-1549832|이촌동 1산 395번지 0호,0,0,0,0,0,xit20161117001413,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.524551,126.956077
0,-,-,3,1,N,0,2020-09-07 0:00,11170-12900-038-1-1547388|이촌동 1산 212번지 1호,0,0,0,0,0,1.11701E+18,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.530448,126.954007
0,-,-,3,1,N,0,2019-12-31 0:00,11170-12900-038-1-1550155|이촌동 1산 199번지 1호,0,0,0,0,0,xit20161117001105,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.524398,126.956707
0,-,-,3,1,N,0,2020-09-07 0:00,11170-12900-038-1-1549832|이촌동 1산 395번지 0호,0,0,0,0,0,xit20161117002758,xit20161117002758,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.524626,126.955719
0,-,-,3,1,N,0,2019-12-31 0:00,11170-12900-038-1-1549832|이촌동 1산 395번지 0호,0,0,0,0,0,xit20161117001173,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.525466,126.954912
0,-,-,3,1,N,0,2019-12-31 0:00,11170-12900-038-1-1547565|이촌동 1산 309번지 0호,0,0,0,0,0,xit20161117001173,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.525466,126.954912
0,-,-,3,1,N,0,2019-12-31 0:00,11170-12900-038-1-1549832|이촌동 1산 395번지 0호,0,0,0,0,0,xit20161117001173,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.525466,126.954912
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13000-039-1-1550375|이태원동 1산 191번지 10호,0,0,0,0,0,1.11701E+18,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.534992,126.988525
0,-,-,3,1,N,0,2019-12-31 0:00,11170-13200-051-1-1546643|동빙고동 1산 9번지 1호,0,0,0,0,0,1.11701E+18,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.525754,126.996134
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13600-051-1-1546058|보광동 1산 168번지 4호,0,0,0,0,0,xit20161117003309,xit20161117003309,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.523212,127.000811
0,-,-,3,1,N,0,2019-12-31 0:00,11170-13600-051-1-1549363|보광동 1산 216번지 5호,0,0,0,0,0,xit20161117001396,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.526132,126.99889
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13000-052-1-1548553|이태원동 1산 15번지 13호,0,0,0,0,0,xit20161117001533,xit20161117001533,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.533108,126.996148
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13600-052-1-1582471|보광동 1산 3번지 312호,0,0,0,0,0,xit20161117001338,xit20161117001338,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.528694,127.00185
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13600-052-1-1582288|보광동 1산 27번지 20호,0,0,0,0,0,xit20161117003799,xit20161117003799,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.527977,127.003366
0,-,-,3,1,N,0,2019-12-31 0:00,11170-13600-052-1-1582405|보광동 1산 265번지 883호,0,0,0,0,0,1.11701E+18,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.531021,127.001155
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13400-051-1-1547356|주성동 1산 53번지 1호,0,0,0,0,0,xit20161117001184,xit20161117001184,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.521811,126.998145
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13200-051-1-1549124|동빙고동 1산 138번지 0호,0,0,0,0,0,1.11701E+18,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.520474,126.994981
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13400-051-1-1549053|주성동 1산 45번지 7호,0,0,0,0,0,1.11701E+18,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.523091,126.99792
0,-,-,3,1,N,0,2020-09-07 0:00,11170-12900-038-1-1549832|이촌동 1산 395번지 0호,0,0,0,0,0,xit20161117000013,xit20161117000013,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.524196,126.956385
0,-,-,3,1,N,0,2019-12-31 0:00,11170-12900-038-1-1549832|이촌동 1산 395번지 0호,0,0,0,0,0,xit20161117001173,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.525466,126.954912
0,-,-,3,1,N,0,2020-09-07 0:00,11170-12900-038-1-1550155|이촌동 1산 199번지 1호,0,0,0,0,0,xit20161117001477,xit20161117001477,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.524808,126.957133
0,-,-,3,1,N,0,2020-09-07 0:00,11170-12900-038-1-1549149|이촌동 1산 422번지 0호,0,0,0,0,0,xit20161117002758,xit20161117002758,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.524626,126.955719
0,-,-,3,1,N,0,2019-12-31 0:00,11170-12900-038-1-1549832|이촌동 1산 395번지 0호,0,0,0,0,0,xit20161117001173,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.525466,126.954912
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13600-051-1-1546058|보광동 1산 168번지 4호,0,0,0,0,0,xit20161117003309,xit20161117003309,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.523212,127.000811
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13200-051-1-1548289|동빙고동 1산 167번지 1호,0,0,0,0,0,xit20161117001091,xit20161117001091,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.521059,126.996292
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13600-051-1-1546058|보광동 1산 168번지 4호,0,0,0,0,0,xit20161117003309,xit20161117003309,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.523212,127.000811
0,-,-,3,1,N,0,2019-12-31 0:00,11170-13600-052-1-1550517|보광동 1산 23번지 1호,0,0,0,0,0,xit20161117000119,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.527091,127.002494
0,-,-,3,1,N,0,2019-12-31 0:00,11170-13600-052-1-1550969|보광동 1산 258번지 4호,0,0,0,0,0,xit20161117002851,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.528424,126.998855
0,-,-,3,1,N,0,2019-12-31 0:00,11170-13600-052-1-1582404|보광동 1산 265번지 1075호,0,0,0,0,0,1.11701E+18,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.530824,127.001346
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13400-051-1-1546003|주성동 1산 42번지 19호,0,0,0,0,0,xit20161117002897,xit20161117002897,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.522018,126.998558
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13200-051-1-1546671|동빙고동 1산 22번지 1호,0,0,0,0,0,1.11701E+18,1.11701E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.525513,126.996075
0,-,-,3,1,N,0,2020-09-07 0:00,11170-13600-051-1-1549815|보광동 1산 217번지 21호,0,0,0,0,0,xit20161117003401,xit20161117003401,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.52586,126.99893
0,-,-,3,1,N,0,2020-09-07 0:00,11680-11000-001-1-1487912|압구정동 1산 392번지 0호,0,0,0,0,0,xit20161168000220,xit20161168000220,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.52934893,127.023209
0,-,-,3,1,N,1,2020-03-03 13:03,-,0,0,0,0,0,1.16801E+18,1.16801E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.52354896,127.028323
0,-,-,3,1,N,1,2020-03-03 13:03,-,0,0,0,0,0,1.16801E+18,1.16801E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.52354896,127.028323
-,-,-,-,2,N,1,2019-12-31 0:00,11380-10800-92-3-00167|역촌동 1산 43번지 64호,0,0,1,1,1,1.13801E+18,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,37.60049307,126.9181762
0,-,-,3,1,N,1,2020-03-03 13:03,-,0,0,0,0,0,1.16801E+18,1.16801E+18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,37.52354896,127.028323
